epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,8543.79,1.09357,0.98938,1.20737,0.32689,0.05891,0.04227,0.01498,2.74167,4.06896,2.68043,9.048e-05,9.048e-05,9.048e-05
82,8633.64,1.04566,0.88318,1.17842,0.4015,0.04024,0.03806,0.01415,2.74309,4.07744,2.6712,8.61735e-05,8.61735e-05,8.61735e-05
83,8720.48,1.09829,0.92455,1.1797,0.30437,0.04842,0.0383,0.01331,2.72978,4.00816,2.69808,8.1867e-05,8.1867e-05,8.1867e-05
84,8807.68,1.04417,0.85677,1.16993,0.40432,0.04979,0.04028,0.01454,2.76233,4.00121,2.7791,7.75605e-05,7.75605e-05,7.75605e-05
85,8895.45,1.01862,0.89291,1.15236,0.31522,0.04613,0.03921,0.01461,2.82306,3.97566,2.86699,7.3254e-05,7.3254e-05,7.3254e-05
86,8983.36,0.99697,0.88105,1.15804,0.40546,0.04544,0.03816,0.01478,2.80094,3.99925,2.87856,6.89475e-05,6.89475e-05,6.89475e-05
87,9071.11,1.04047,0.88154,1.17823,0.39639,0.04292,0.03651,0.01442,2.80746,4.05506,2.87236,6.4641e-05,6.4641e-05,6.4641e-05
88,9158.97,1.0425,0.84381,1.1618,0.40118,0.04292,0.03493,0.0141,2.79329,4.06126,2.8752,6.03345e-05,6.03345e-05,6.03345e-05
89,9247.28,0.97569,0.83566,1.13108,0.31794,0.04613,0.03564,0.01563,2.77205,4.11039,2.84158,5.6028e-05,5.6028e-05,5.6028e-05
90,9334.85,1.04761,0.94104,1.17426,0.31625,0.04017,0.03671,0.0156,2.83754,4.06741,2.90613,5.17215e-05,5.17215e-05,5.17215e-05
91,9422.11,0.98537,0.79044,1.19503,0.39629,0.03902,0.03392,0.01439,2.86547,4.0854,2.94255,4.7415e-05,4.7415e-05,4.7415e-05
92,9511.95,0.92351,0.73896,1.15228,0.30138,0.04132,0.03368,0.01445,2.8579,4.03211,2.94333,4.31085e-05,4.31085e-05,4.31085e-05
93,9601.84,1.00762,0.82992,1.18362,0.29703,0.04028,0.03316,0.01368,2.80012,4.12276,2.82048,3.8802e-05,3.8802e-05,3.8802e-05
94,9689.66,0.94505,0.74124,1.14632,0.29036,0.04247,0.03281,0.01307,2.82212,4.04739,2.85943,3.44955e-05,3.44955e-05,3.44955e-05
95,9777.8,0.98014,0.76704,1.16728,0.30575,0.04187,0.03332,0.01332,2.81752,4.0313,2.85792,3.0189e-05,3.0189e-05,3.0189e-05
96,9867.1,0.89843,0.71751,1.11063,0.38212,0.03565,0.03551,0.01394,2.81457,4.03448,2.85727,2.58825e-05,2.58825e-05,2.58825e-05
97,9959.07,0.92108,0.73159,1.15404,0.3868,0.03565,0.03469,0.01387,2.81237,4.03171,2.83928,2.1576e-05,2.1576e-05,2.1576e-05
98,10044.5,0.91422,0.72496,1.1275,0.38702,0.03584,0.03583,0.01423,2.80063,4.0485,2.81702,1.72695e-05,1.72695e-05,1.72695e-05
99,10131.8,0.93274,0.72475,1.162,0.29294,0.04348,0.03618,0.01436,2.77951,4.06453,2.79362,1.2963e-05,1.2963e-05,1.2963e-05
100,10218.3,0.9344,0.73474,1.16326,0.29638,0.04488,0.03675,0.0144,2.75489,4.04186,2.7679,8.6565e-06,8.6565e-06,8.6565e-06
