epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,21922.7,0.7967,0.77325,1.10937,0.486,0.16057,0.15945,0.10441,2.1554,2.71896,2.0624,0.000146464,0.000146464,0.000146464
69,22231,0.78756,0.78352,1.09903,0.39689,0.18751,0.17643,0.10671,2.12378,2.66887,2.07367,0.000142158,0.000142158,0.000142158
70,22549.9,0.7628,0.73274,1.07056,0.43993,0.16636,0.16101,0.10471,2.12438,2.74306,2.06039,0.000137852,0.000137852,0.000137852
71,22858.7,0.7514,0.71511,1.06069,0.44759,0.17228,0.1596,0.10424,2.08079,2.75825,1.99269,0.000133545,0.000133545,0.000133545
72,23172.4,0.74636,0.69654,1.06844,0.44229,0.18004,0.16463,0.10024,2.12859,2.68571,2.01538,0.000129239,0.000129239,0.000129239
73,23480.9,0.74056,0.68632,1.05586,0.47802,0.18516,0.16981,0.10479,2.14573,2.72765,2.01151,0.000124932,0.000124932,0.000124932
74,23779.7,0.74744,0.70798,1.07896,0.43557,0.19623,0.1681,0.1028,2.15648,2.73774,2.03082,0.000120626,0.000120626,0.000120626
75,24090.4,0.73964,0.69237,1.05058,0.4843,0.19144,0.16891,0.10571,2.10412,2.7187,2.03523,0.000116319,0.000116319,0.000116319
76,24407.6,0.73958,0.71678,1.07066,0.48638,0.17911,0.16836,0.10309,2.16086,2.75769,2.07523,0.000112013,0.000112013,0.000112013
77,24720,0.72288,0.68806,1.05969,0.46013,0.1907,0.16656,0.10432,2.12578,2.67055,2.05868,0.000107706,0.000107706,0.000107706
78,25030.8,0.70807,0.64593,1.04185,0.44215,0.19794,0.16912,0.10958,2.17458,2.70773,2.04773,0.000103399,0.000103399,0.000103399
79,25339.5,0.71809,0.71719,1.05931,0.44086,0.19765,0.17239,0.11497,2.1511,2.60019,2.0595,9.9093e-05,9.9093e-05,9.9093e-05
80,25646.5,0.71935,0.69566,1.0564,0.45199,0.18872,0.16457,0.11112,2.13008,2.61201,2.07096,9.47865e-05,9.47865e-05,9.47865e-05
81,25954.7,0.68321,0.63545,1.02697,0.46424,0.17338,0.16563,0.1114,2.16696,2.62814,2.12251,9.048e-05,9.048e-05,9.048e-05
82,26268.1,0.72374,0.64748,1.05568,0.48234,0.17601,0.17017,0.11166,2.16318,2.65719,2.12147,8.61735e-05,8.61735e-05,8.61735e-05
83,26575.2,0.69321,0.64088,1.02718,0.46596,0.20275,0.17515,0.11356,2.12944,2.62568,2.10613,8.1867e-05,8.1867e-05,8.1867e-05
84,26879.9,0.69343,0.63827,1.03638,0.44475,0.18742,0.16783,0.10923,2.1143,2.61319,2.09955,7.75605e-05,7.75605e-05,7.75605e-05
85,27183.3,0.66832,0.63247,1.03069,0.44995,0.18879,0.1683,0.1074,2.1533,2.63313,2.12278,7.3254e-05,7.3254e-05,7.3254e-05
